NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
44,박찬구,금호석유화학(주),"전남 여수시 월화동
144-16 화치동 1293","열병합(부생
가스,석탄,TD
F,바이오매스)",300,‘12.9.21,"2015년
6월",
45,권혁웅,여수열병합발전(주),"전남 여수시 산단중앙로 145
전북 군산시 비응도동 31",“,"여수250
군장122.9",“,,
46,김재신,OCI SE (주),"전북 군산시
새만금산업단지내","열병합
(유연탄,LNG)",303,“,,
47,박찬구,금호석유화학(주),"전남 여수시 월화동
144-16","열병합
(부생가스,석탄)",31.5,“,,"자체요청으로
취소"
48,조정호,"청송 면봉산
풍력발전","경북 청송군 현서면
무계리 산 11",풍력,48,‘12.10.25,"2015년
1월",
49,백흥건,평창풍력발전(주),"강원도 평창군 미탄면
회동리,평안리
정선군 정선읍 회동리",“,30,‘12.10.26,"2013년
12월",
50,"에
두아르도산체스",(주)영양제2풍력발전,"경북 영양군 석보면
삼의리 산60",“,34,“,"2014년
12월","설비용량 38-34
변경"
51,전영찬,stx 영양풍력발전(주),"경북 영양군 영양읍
무창리 산62",“,46,“,"2014년
7월","발전사업
양수인가"
52,이병호,STX에너지(주),"경기도 포천시 신북면
신평리 220-1","열병합(유연탄,
우드칩,부생연료)",160,“,"2015년
12월",
53,이병호,STX에너지(주),"경기도 안산시 단원구
초지동 661","열병합(유연탄,B
-C유,도시가스)",76.955,“,"2011년
12월",
54,이병호,STX에너지(주),"경북 구미시 공단2동
291","열병합(유연탄,B
-C유,도시가스)",185.3,“,"2012년
6월",
