NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
33,이정섭,KG ETS(주),"경기도 시흥시 정왕동
시화공단 2바 101","열병합
(BC유,P-C)",20.8,'12.6.27,,
34,남인석,한국중부발전(주),"강원도 원주시 지정면
신평리 420-1","폐기물에너
지(RDF)",10,‘12.6.29,"2014년
5월",
35,손동식,충청에너지서비스,"충북 청원군 옥산면
국사리","열병합(유연
탄, 우드칩)",55,‘12.7.25,"2015년
10월",
36,정승일,한국지역난방공사,"경기도 화성시 석우동39,
동탄면 방교리 634","열병합,
연료전지,태양광","1,263
13.6,
7.3",“,"2017년
5월",
37,김대영,무림파워텍(주),"경남 진주시 남강로
1317길 24","열병합
(BC유,LNG)",42.6,"""",,
38,"정경수
김진규",안산도시개발(주),"경기도 안산시 초지동
672",“,62.6,“,,
39,박영수,위례에너지서비스(주),"경기도 하남시 학암동
일원","열병합
(LNG)",228,"""","2015년
12월",
40,손영기,GS파워(주),"경기도 부천시 오정구
삼정동 363-3","LNG
복합화력",525,‘12.8.23,"2015년
4월",
41,김준수,경기그린에너지(주),경기도 화성시 향남읍,연료전지,58.8,“,"2013년
12월","사업개시 13.7.10
‘13.9.3 최종신고"
42,"백종호
윤정택",네추럴오투피아(주),"경기도 이천시 대월면
초지리 57",태양광,9,‘12.9.20,"2015년
8월",
43,조현문,"효성윈드파워홀딩스
(주)","강원도 강릉시 왕산면
대기4리",풍력,24,‘12.9.19,"2013년
9월","사업준비기간
연장 재교부"
