NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
23,"손달호
이길구
안병덕","(주)경동,
한국동서발전(주),코오롱
글로벌(주)","충남 당진군 석문면
삼봉리, 고대면 성산리","열병합(목질
바이오매스)",38.9,‘13.4.1,"2015년
12월",
24,안현검,(주)석문에너지,"충남 당진군 석문면 삼봉리,
고대면 성상리 일원",“,38.9,‘13.4.4,“,양수인가
25,오창석,군장에너지(주),"전북 군산시 소룡동
53-8 일원","열병합
(유연탄)",395.069,‘13.4.5,"2015년
7월",
26,이종근,동부발전당진(주),"충남 당진시 석문면
교로3리 1026번지 외",석탄화력(S/T),"1,160",'13.4.8,"2016년
12월","허가증
재발급(용량변경)"
27,진경수,대산열병합발전(주),"충남 서산시 대산읍
대죽리 39번지 일원","열병합
(유연탄)",50.7,‘13.4.16,"2015년
12월","준비기간 연장
(2013.4-2015.12)"
28,"장경수
김진규",안산도시개발(주),"경기도 안산시 단원구
초지동 672",열병합(LNG),62.6,'13.4.24,,
29,정연주,삼성물산(주),"강원도 강릉시 강동면
대동리 일원","스팀터빈
(유연탄)","2,120",‘13.4.30,"2019년
10월",
30,"최광철
조기행",SK건설(주),"경남 고성군 하이면
덕호리 880번지 외",“,"2,100",“,"2019년
4월",
31,박정욱,애플토리아(주),"경남 진주시 이반성면
장안리 1081-2외 38필지","신재생
(태양광)",3.315,‘13.5.31,"2014년
12월",
32,조정호,청송 면봉산풍력(주),"경북 청송군 현서면
무계리 산11번지 일원",신재생(풍력),60,‘13.4.30,"2015년
12월",
33,임장순,"현대아산태양광발전
(주)","충남 아산시 인주면
금성리 123",태양광,10.076,“,"2014년
1월",
