NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
22,문성환,"삼양사  울산1
공장","울산시  남구  장생포로  285(매
암동)","신재생에
너지(SRF) 
발전",3.7,2017-05-01,"승계신고  완료
시까지","집단에너지에서  발전사
업으로  전환"
23,박식,피앤디솔라,"전북  군산시  비응도동  유19번
지",태양광,17,2017-05-01,2020-02-29,
24,정승,"한국농 어촌공
사 ( 화 안 사 업
단)","경기  화성시  서신면  궁평리 
699",태양광,5.016,2017-05-01,2019-12-31,
25,기찬수,"청송노 래산풍
력발전","경북  청송군  안덕면  노래리  산
68-1번지  일원",풍력,20,2017-05-01,2018-01-31,양수인가
26,최용선,"삼척  오두2풍
력  발전사업","강원도  삼척시  하장면  추동리, 
둔전리,  용연리  일대",풍력,57.6,2017-05-01,2019-12-31,
27,윤종근,한국남부발전,"강원도  삼척시  가곡면  풍곡리 
산128-63",풍력,50.4,2017-05-01,2020-12-31,
28,김용진,한국동서발전,"경북  영덕군  영덕읍  삼계리  산
23-2,  산38,  산25,    산40-1,  강
구면  하저리  산101,  산102,  산
103,  영덕읍  창포리  산114-1, 
117-2  일원",풍력,39.6,2017-05-01,2020-12-31,
29,김리하,"영월에 코에너
지","강원도  영월군  상동읍  내덕리 
산112-1,  덕구리    산10-1번지 
일원",풍력,64.8,2017-05-01,2020-05-31,
30,류지윤,유니슨,"경북  봉화군  석포면  석포리  산
1-2,  승부리  산1-1,    울진군  금
강송면  전곡리  산1",풍력,60,2017-05-01,2021-04-30,
