NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
69,이정섭,일출에너지,"경북  영덕군  달산면  매일리 
산131번지  일원",풍력,93.15,2016-05-30,2020-03-31,
70,손영기,지에스이앤알,"경북  영양군  석보면  포산리 
일원",풍력,56.1,2016-05-30,2019-03-31,
71,"김 장 수 , 
김흥식",동성,"강원  강릉시  강동면  임곡리 
산21  일원",풍력,40,2016-05-31,2019-12-31,
72,김국희,웅진풍력발전,"강원  정선군  고한읍  고한리 
산  1-17번지  일원",풍력,39,2016-05-31,2018-05-31,
73,정재원,재원에너지,"전남  영광군  염산면  두우리 
1128-3번지  등  및  공유수면 
일원",풍력,99.1,2016-05-31,2018-12-31,
74,"강원도
청",강원도청,"강원도  평창군  횡계리  산 
1-174",풍력,3.3,2016-05-31,2016-12-31,
75,이희승,에스비오,"전남  여수시  화정면  조발리 
산38-3번지  일원",풍력,12,2016-05-31,2019-04-30,
76,허지영,윈윈드파워,"전남  신안군  증도면  우전리 
일원",풍력,33,2016-05-31,2020-10-31,
77,윤종군,한국남부발전,"강원  삼척시  원덕읍  호산리 
일원",석탄화력,2044,2016-06-13,2017-06-30,사업준비기간연장
78,조인국,한국서부발전,"충남  태안군  원북면  발전로 
447-40","초초임계
압  관류형 
석탄보일
러(유연탄)",2100,2016-06-13,2017-04-30,사업준비기간연장
79,금동흠,"천안삼영그린
에너지","충남  천안시  서북구  차암동 
14-4  일원","신재생(연
료전지)",25,2016-06-13,2018-01-31,사업준비기간연장
