NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
1,안성덕,엘지솔라에너지,충남 보령 청소면,태양광,7,‘08.1.28,‘08.12월,신규
2,허경춘,강원솔라파크,강원도 춘천 송암동,태양광,9.99,“,‘08.9월,“
3,정태호,한국동서발전,경기 고양 백석동,연료전지,4.8(2.4×2기),,‘10.10월,변경(용량증설)
4,엘렁윙신첸,메이야율촌전력,전남 순천 해룡면,연료전지,“,“,‘09.7월,“
5,고양시장,고양시(경기),경기 고양 백석동,"증기터빈
(생활쓰레기)",5.3,“,‘09.8월,신규
6,사장,한국남부발전,강원 삼척 하장면,풍력,20,‘08.3.31,‘09.9월,“
7,대표,삼성에버랜드,경북 김천 어모면,태양광,9.9,“,‘08.9월,“
8,김기태,김천 에너빅스,경북 김천 어모면,태양광,9.4,“,“,“
