NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
1,이중재,한국수력원자력(주),"부산시 기장군 장안읍
효암리",원자력,200만 KW,'05.2.28,8년이내,
2,전주시장,전주시,"전주시 완산구 상림동
산 180-6",증기터어빈,8MW,'05.4.21,4년이내,
3,정태훈,안정에너지(주),"경남 통영시 광도면
안정리","가스,증기터
어빈",747MW,'05.5.31,"""",
4,김영철,한국중부발전(주),"인천시 서구 원창동
인천 화력발전소",LNG,504MW,'05.6.29,,
5,박희갑,한국남동발전(주),"경북 예천군 하리면
송월리",양수,800MW,'05.7.22,,
6,김영철,한국중부발전(주),"강원도 양양군 서면
영덕리",“,"1,000MW","""",,
7,김종신,한국서부발전(주),"경북 청송군 파천면
신흥리",“,600MW,"""",,
8,이용오,한국동서발전(주),"충남 당진군 석문면
교로리 산 974",석탄화력,"!,000MW","""",,
