NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
1,고석구,한국수자원공사,"대전시 대덕구 연축동
산 6-2",조력,25만4천kw,'04.10.20,5년,
2,장기형,"dk풍력발전(주)양산발전
소","경남 양산시 원동면
대리 산 93",풍력,12MW,'07.6.29,19개월,
