NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
34,서기섭,대명지이씨(주),"경남 거창군 신원면
덕산리 산57번지 일원",풍력,20,‘13.4.30,"2015년
5월",
35,이인규,영산강발전일(주),"전남 나주시 영산동 664-1
292필지",태양광,10,‘13.5.3,"2013년
12월","준비기간연장
2014년 12월"
36,이인규,영산강발전이(주),“,“,20,“,"2014년
5월",
37,안성권,김천풍력발전(주),"경북 김천시 어모면
옥계리 산227",풍력,20,‘13.5.14,"2015년
6월",설비용량 85-20
38,김진식,STX전력(주),"강원도 동해시 구호동
230, 245-1,
246","석탄화력
신재생",1198.172,‘13.5.16,"2016년
6월","신재생 추진
허가증 재발급"
39,유정준,SK E&S,"경기도 여주군 북내면
외룡리 366","LNG
(복합화력)","1,000",‘13.5.31,"2017년
6월",
40,"백종호
윤정택",(주)내추럴오투피아,"경기도 이천시 대월면
초지리 57","신재생
(태양광)",9,“,"2015년
8월","변경허가
154-22.9"
41,권혁응,한화에너지(주),"전북 군산시 외항로
1222","유연탄
(ST)",221.9,“,"2016년
10월",
42,김지훈,"베스트솔라에에너지
(주)","전남 해남군 황산면
한자리 726외",태양광,7.872,“,"2013년
12월",양수인가
43,문부춘,"(주)영월에너지
스테이션","강원도 영월군 남면
연당리 산237",“,40,“,"2013년
9월",“
44,오형석,(주)해남그린에너지,"전남 해남군 송지면
학가리 324-1",“,9,“,"2016년
5월",
