NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
152,황의정,"진고개윈드캠
퍼스","강원  평창군  대관령면  횡계리 
산2-1",풍력,6.6,2016-11-01,2019-08-31,
153,김양수,"영암삼호풍력
발전","전남  영암군  미암면  호포리 
1246번지  외  11필지",풍력,39.6,2016-11-01,2019-01-31,
154,하태국,우람발전,"경북  청송군  부남면  중기리 
산86-1,  산127,  산135,  산137, 
부남면  양숙리  산23",풍력,99,2016-11-01,2020-06-30,
155,손승우,봉이,"강원  양양군  서면  미천리  산5
번지  일원",풍력,39,2016-11-01,2018-08-31,
156,남기준,진성파워,"강원  삼척시  도계읍  한내리 
산55번지",풍력,60,2016-11-01,2018-12-31,
157,박정학,명성파워그린,"강원  정선군  남면  유평리  산
208,  화암면  몰운리  산210",풍력,39,2016-11-01,2019-06-30,
158,김용진,한국동서발전,"강원  횡성군  갑천면  포동리 
산  78-2,  산  82-1번지  일원",풍력,7,2016-11-02,2018-12-31,
159,하영복,"자은태양광발
전소","경기  가평군  조종면  마일리 
산  237-1  일원",풍력,9.5,2016-11-02,2018-09-30,
160,서준열,"더블류티이목
포","전남  목포시  대양동  797번지
(목포대양산단A14블록)","신재생(폐
기물:생활,
음식,산업 
등)",29.9,2016-11-02,2018-12-31,"용량변경,사업준비기간연
장  등"
