NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
1,이천시장,경기도 이천시,"경기도 이천시 호법면
안평3리 산 98",증기터빈,8.2MW,'07.2.28,13개월,
2,산체스,(주)영양풍력발전공사,"경북 영양군 석보면
요원리 삼의리",풍력,64.5MW,"""",14개월,"1개월이내
환경부 검토"
5,김종신,"한국서부발전(주)군산복
합화력","전북 군산시 경암동
590-2",복합화력,717MW,'07.3.22,2년 9월,"4개월이내
환경평가"
6,민계식,"현대중공업(주)대산복
합화력","충남 서산시 대산읍
독곶리 634",“,507MW,"""",1개월,
7,마사루,(주) 태기산 풍력발전,"강원도 횡성군 둔내면
태기리산 1-1",풍력,40mw,"""",9개월,
8,박현우,(주)고창솔라파크,"전북 고창군 흥덕면
치룡리 100",태양광,15mw,'07.6.29,11개월,
9,장기형,"dk풍력발전(주)
영산발전소","경남 양산시 원동면
대리 산 93",풍력,12mw,"""",19개월,
10,이재혁,"(주)경남
신제생에너지","경남 밀양시 산내면
삼양리 산 1-3",“,50.6mw,'07.8.21,2010.12.31,
11,백종만,YPP에너지(주),"전남 보성군 겸백면
도안리 산 20",태양광,10MW,'07.10.30,2010.11.29,"개별법 인허가
받을 것"
12,김정태,(주)영월솔라테크,"강원도 영월군 남면
연당2리 1036",“,50MW,"""","2013년
9월","허가증 재발급
(‘12.12.24)"
13,정태호,한국동서발전(주),"충남 당진군 석문면
교로리 산974",소수력,4.998MW,07.11.19,2009.12.31,"개별법 인허가
받을 것"
