NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
1,문무길,"(주)코에지 양산
풍력발전소","경남 양산시 원동면
대리 산 93-4",풍력,"6,000kw",'03.2,2004.11.30,
3,이돈영,"대전시금고동
쓰레기매립가스발전소","대전시 유성구 금고동
산21","쓰레기매립
가스","3,460kw",'03.4,2003.5.31,
4,"콜린시우떵
탬",메이야율촌전력(주),"전남 순천시 해룡면
율촌 제1산단",lng복합,50만kw,'03.5.6,"가스04.6.30
스팀05.6.30",
5,이임택,"한국남부발전(주)하동
화력","경남 하동군 금성면
가덕리 310",석탄,"7-8호기
100만kw",'03.5.27,"7호기08.6.30
8호기09.3.31",
6,조동일,"에코에너지(주)수도권
매립지 매립발전소",인천시 서구 백석동 58,매립지가스,50mw,'03.6.24,'07.3.7,
7,김길원,영덕풍력발전(주),"경북 영덕군 영덕읍
창포리",풍력,4만kw,'03.10.20,2004.6.30,
7,박영덕,sk전력(주),"전남 광양시 금호동
광양제철소 스래그처리장",lng,"45만kw
2기",‘03.6.26,"1호기06.3.31
2호기06.12.31",
8,김영철,"한국중부발전(주)제주
화력",제주시 삼양1동 900,중유,4만kw,'03.11.11,2005.6.30,"송전용설비건설 한전
전력거래소와 협의"
9,이임택,"한국남부발전(주)남제
주화력","제주도 남제주군 안덕면
화순리 610",“,20만kw,"""","3호기06.9.30
4호기07.3.31",“
10,문무길,"(주)코에지 양산
퐁력발전소","경남 양산시 원동면
대리 산 93-4",풍력,"8,000kw",'03.12.9,2004.11.30,
11,윤행순,"한국남동발전(주)영흥
화력","인천시 옹진군 영흥면
외리 산 168",유연탄,"80만 kw
2기",‘“,"3호기08.6.30
4호기09.3.31",
