NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
78,최평락,한국중부발전(주),"충남 서천군 마량리
일원","석탄화력
(유연탄)","1,000",‘13.9.30,"2019년
9월",
79,김봉영,삼성에버랜드(주),"울산시 울주군 온산읍
신암리 360",폐열발전,16.2,“,"2015년
6월",
80,이정원,"(주)제이더블유에스피에
스","경북 고령군 다산면
송곡리 1049-2,3번지","바이오메스
화력",9.9,“,"2015년
10월",
81,박창규,롯데건설(주),"충남 예산군 삽교읍
1-21",신재생,97,“,"2018년
12월",
82,"김춘학
(중국)",(주)금산태양광발전소,"전남 신안군 안좌면
금산리 258-3외 12필지",태양광,9,‘13.10.11,"2014년
12월","사업준비기간
연장"
83,“,(주)대척태양광발전소,"전남 신안군 안좌면
대척리 1-3~5,16-5 등",“,7.5,“,"2014년
12월",“
84,박정욱,"진주철도솔라(주)
]","경남 진주시 이반성면
장안리 1081-2외38필지",“,3.315,‘13.11.8,"2014년
12월",
85,"함스테판
윤성",에스케이디앤디(주),"전남 영암군 삼호읍
삼포리 1949번지",“,5.3,“,"2014년
10월",
86,김지훈,베스트솔라에너지(주),"충남 당진시 신평면
매산리 164-8",“,8.9,“,"2015년
4월",
87,"신성룡
(김기호)",케이에스솔라(주),"경남 창원시 성산구 동
23",“,3.3,“,"2014년
12월","사업개시 신고
(‘14.4.30, 용량3.4)"
88,윤정택,(주)내추럴오투피아,"경기도 이천시 대월면
초지리 57",“,4.368,“,,"법인분할 허가증
재발급"
