NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
,,,"건천리  산265,  임계면  덕암리 
산50-4",,,,,
59,김화준,대화풍력,"강원도  평창군  대화면  개수리 
산340,  산337,  산618,  상암미
리  산331,  방림면  방림리  산
442,  계촌리    산1",풍력,99,2016-05-09,2019-12-31,
60,신상일,부선,"경북  울진군  매화면  길곡리 
산1번지",풍력,99.2,2016-05-09,2020-01-31,
61,조석,한수원,"울산시  울주군  서생면  신암리 
일원","원 자 력
(S/T)",2800,2016-05-10,2017-03-31,사업준비기간  연장
63,오형석,"해남그린에너
지","전남  해남군  송지면  학가리 
324-1  등지",태양광,9,2016-05-23,2017-05-31,사업준비기간  연장
64,김범헌,"용연수상태양
광발전","경북  포항시  북구  신광면  호
리  87번지외  23필지",태양광,4.073,2016-05-31,2016-12-31,
65,오수현,페트로코너지,"경기 
시흥시 
서울대학로 
59-5(정왕동)","연 료 전 지
(NG)",6,2016-05-30,2017-05-31,
66,김성훈,"브이엘스팀앤
파워","경기  포천시  신북면  신창길 
36(신평리  206-3)  외","포 천 염 색
단지  여열
(증기터빈)",9.9,2016-05-30,2018-04-30,
67,채태평,하늘과에너지,"전북  전주시  덕진구  팔복동3
가  478-1","고 형 연 료
(SRF)",9.9,2016-05-30,2019-03-31,
68,기준호,삼영이앤이,"경기  용인시  남사면  천덕산로 
428길  22","신 재 생 에
너 지 ( 의 료
용  폐기물 
소각열)",4.404,2016-05-30,2017-12-31,
