NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
,,,,"가스  연료
전지)",,,,
51,송재호,케이디파워텍,"울산시  울주군  온산읍  온산로
68  S-OIL(주)  온산공장  부지 
내",폐열발전,16.2,2016-05-10,2016-07-31,사업준비기간  연장
52,김용진,한국동서발전,"충남  서산시  대산읍  독곶2로 
103(한화토탈  대산공장  內)","신 재 생 에
너 지 ( 수 소 
연료전지)",50,2016-05-09,2018-03-31,
53,김성훈,진주산업,"충북  청주시  청원군  북이면 
신대석성로  253-4","고 형 연 료
(SRF),  산
업폐기물",6.5,2016-05-09,2018-04-30,
54,손호영,"부산신항배후
발전","부산시  강서구  국제물류도시 
일반산업단지  1단계  제2공구 
122-7Lot","신 재 생 ( 연
료전지)",17.5,2016-05-09,2016-12-31,"양수인가(부산강서산단
-->부산신항배후발전)"
55,박성호,영천풍력,"경북  영천시  화북면  정각리 
산150-1번지  일원","신 재 생 에
너지(풍력)",39,2016-05-09,2019-03-31,
56,최근화,하사미,"강원  태백시  하사미동  산
219-2,  산485-6,  산485-7,  산
485-9",풍력,18,2016-05-09,2017-12-31,
57,정해주,대관령풍력,"강원  평창군  용평면  노동리 
산1-5,  산1-30도",풍력,3.4,2016-05-09,2018-12-31,
58,김용진,한국동서발전,"강원도  정선군  화암면  화암리 
산58,  산111,  산101,  산115, 
산116,  산145,  산146,  산150,   
산152,  산169,  산170,  산171,",풍력,40,2016-05-09,2019-12-31,
