NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
,,지,51번길,지,,,,
62,최평락,한국중부발전,제주시  삼양동  900번지,"LNG복합
(비상시  경
유  등  사
용)",240,2015-06-02,2018-06-30,
63,윤창운,코오롱글로벌,"부산시  강서구  명지동 
607-641","신재생(바
이오  고형
연료
/Wood 
Chip)",9.9,2015-06-02,2017-10-31,
64,이후근,"파 주 그 린 에 너
지","경기  파주시  파주읍  백석리 
195-1번지  일원","신재생
(SRF)",9.9,2015-06-02,2017-10-31,"번영환경개발로부터  양
수"
65,서기섭,대명지이씨,"경북  안동시  길안면  백자리 
산97번지  일원",풍력,18.4,2015-06-01,2018-06-30,
66,정용수,영양에코파워,"경북  영양군  석보면  요원리 
산65-1,  산31-4,    산45-2,  산
45-11,  산45-12,  산45-13, 
산58-1,  산58-2,  산91,  영양
군  석보면  홍계리  산29-1, 
영양군  영양읍    양구리  산
1-13,  신43-1  ,산43-2",풍력,79.2,2015-06-01,2017-09-30,"영양윈드파워로부터  양
수,용량변경(기기교체)"
67,이재성,현대중공업,"전북  군산시  비응도동  21, 
19,  22,  23,    24,,35번지",풍력,4.95,2015-06-01,2015-12-31,용량축소(6.6-->4.95)
68,백흥건,평창풍력발전,"강원  평창군  미탄면  회동리, 
평안리  및  정선군  정선읍",풍력,30,2015-06-03,2015-09-30,사업준비기간  연장
