NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
,,,회동리  일원,,,,,
69,김철민,서대구에너지,"대구시  서구  와룡로  87길 
92(이현동)","열병합발
전(증기터
빈),  연료
전지",6.4,2015-06-03,2018-03-31,사업준비기간  연장
70,"박상준,
이재승","GS포천열병합
발전","경기  포천시  신북면  신평리 
일원","열병합(유
연탄,부생
연료)",169.9,2015-06-12,2018-03-31,사업준비기간  연장
71,김성회,"한국지역난방
공사",전남  나주시  산포면  세남로,열병합,21.99,2015-06-15,2017-12-31,용량변경  20-21.99
72,김기환,"GS영양풍력발
전","경북  영양군  영양읍  무창리 
산62번지  일원",풍력,59.4,2014-04-10,2015-10-31,사업준비기간  연장
73,김성회,"한국지역난방
공사","경기  평택시  고덕면  해창4
길  64-15  일원","열병합발
전",483.6,2015-06-29,2021-07-31,
74,배명호,"하남에너지서
비스","서울시  강동구  고덕동  35-1 
일원","천연가스 
열병합발
전",36.3,2015-06-29,2018-12-31,분할합병
75,김태진,엔이티,"충북  청주시  흥덕구  옥산면 
호죽리  907외908","SRF(비성형 
고형연료
제품)",8,2015-06-30,2018-06-30,
76,이영규,웰크론강원,"제주  제주시  월산남길  312
(해안동)","SRF(일반고
형연료제
품)",6,2015-06-30,2016-10-31,
