NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
,,,,"연탄,목질
계)",,,,48.4->126.2MW)
89,이기완,디에스에너지,"충남  청양군  화성면  금계동길 
31","신재생
(Bio-SRF)",6,2016-08-30,2018-05-31,
90,김정영,"와이에스에너
지","경기  양주시  남면  현석로785
번길  207","신재생
(Bio-SRF)",5,2016-08-30,2018-04-30,
91,모종면,대산파워,"충남  서산시  대산읍  죽엽로 
397일원(대죽리)","신재생에
너지【고
형연료
(SRF)】",24.9,2016-08-30,2018-11-30,
92,황정현,"광양그린에너
지","전남  광양시  황금동  산  191, 
황금일반산업단지  內","신재생(바
이오매스  :
우드펠릿 
등  목질
계)",200,2016-08-30,2020-06-30,용량변경(100->200MW)
93,이병삼,"청주  폐수지 
유류화  엔진 
발전사업","충북  청주시  서원구  남이면 
부용남이길182,  (구미리   
39-2,  39-4)","유류(페기
물  열분해
/유류전환)",9,2016-08-30,2017-12-31,
94,김영환,선창산업,"인천시  중구  월미로  96  (북성
동  1가)","신재생(바
이오매
스:Wood 
Chip)",3.6,2016-08-30,2017-02-28,
95,이한림,예원산업,"전북  정읍시  2산단7길21-1(하
북동)","신재생
(SRF)",5.5,2016-08-30,2019-03-31,
96,오봉호,정욱엔지니어,충북  음성군  맹동면  봉현리,신재생(성,9.9,2016-08-30,2018-07-31,양수인가(양도자:  정욱리
