NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
161,윤화식,춘천에너지,"강원  춘천시  동산면  봉명리 
동춘천산업단지","열병합발
전",422.4,2016-11-23,2017-07-31,사업준비기간연장
162,정태연,"영동연료전지
발전","강원  고성군  토성면  원암리 
427-1",풍력,5,2016-11-22,2017-12-31,
163,정태연,"영동연료전지
발전","강원  정선군  임계면  가목리 
산8-1",풍력,5,2016-11-22,2017-12-31,
164,오봉호,"정욱리씨이클
링","충북  음성군  맹동면  초금로 
415-14외  2필지","신재생(성
형SRF  등)",9.9.,2016-11-02,2018-12-31,사업준비기간연장
165,남곤,"성림엔지니어
링","부산시강서구화전산단1로63번
길10","열병합발
전",9.1,2016-11-10,2017-05-31,사업준비기간연장
166,류두형,한화에너지,전북  군산시  외항로  1222,"열병합발
전(유연탄)",221.9,2016-11-28,2017-09-30,
167,유정준,"에스케이이엔
에스","서울시  강동구  아리수로87길 
206  (고덕동)","신재생(연
료전지)",39.6,2016-11-28,2019-01-31,용량변경
168,박준영,"에스엠지에너
지","전북  군산시  비응도동36-23 
군산2국가산업단지  내","신재생【우드
펠릿 등 
목질계 
바이오매스】",200,2016-11-28,2020-06-30,
169,손영기,"지에스이피에
스","충남  당진시  송악읍  부곡공단
로  241","신재생【
바이오매
스】",105,2016-11-28,2020-03-31,
170,이길구,"포항신재생에
너지","경북  포항시  북구  흥해읍  용
한리(영일만3일반산업단지)","신재생【
목질계 
바이오매
스(우드칩,",110,2016-11-28,2020-12-31,
