NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
"2015-
94",양경호,"군산바이오에
너지",전북  군산시  비응도동  36,"신재생(목
재펠릿)",200,2017-09-27,2019-12-31,발전연료변경
"2015-
151",박근식,영광풍력발전,"전남  영광군  백수읍  하사리,약
수리,  염산면  축동리,신성리,송
암리  일원",풍력,79.6,2017-09-27,2019-09-27,"용량변경,준비기간연장"
"2015-
99",기찬수,서기섭,"경북  포항시  북구  신광면  냉수
리  산63번지  일원",풍력,20,2017-09-28,2017-12-31,대표자변경
"2015-
167",장찬현,안동풍력발전,"경북  안동시  길안면  백자리  산
97번지  일원",풍력,18.4,2017-09-29,2018-06-30,대표자변경
"2016-
168",박준영,"에스엠 지에너
지","전북  군산시  비응도동36-23 
군산2국가산업단지  내","신 재 생 ( 목
재펠릿)",200,2017-09-29,2020-06-30,연료변경
82,최용선,"글로벌 윈드에
너지","강원도  양구군  해안면  만대리, 
월산리,  이현리,  후리  일원,  인
제군  서화면,  가전리,  심적리 
일원",풍력,126,2017-09-29,2021-04-30,
83,이용우,지윈드스카이,"부산시  해운대구  중동  591-15
번지  해상",풍력,40,2017-09-29,2019-12-31,
86,박상무,씨스포빌,"강원도  정선군  임계면  임계리 
산8번지  일원",풍력,30,2017-09-29,2021-06-30,
87,박정학,명성파워그린,"강원도  삼척시  가곡면  오목리 
산21번지",풍력,39,2017-09-29,2021-06-30,
84,윤동준,포스코에너지,"전남  신안군  자은도  서측  공유
수면  해상(①  위도 
: 
34°53′
②
25.90″/경도:125°54′32.57″ 
위도:34°53′28.72″/경도:125°56′","신 재 생 ( 해
상풍력)",300,2017-09-29,2021-09-30,
