NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
,,,산2번지  일원,,,,,
155,정대호,석문에너지,"충남  당진시  석문면  산단4
로  341","열병합발
전",38.9,2015-11-02,2017-03-31,용량변경
156,임춘호,"자은주민바람
발전","전남  신안군  자은면  백산리 
일원",풍력,39,2015-11-23,2017-01-31,사업준비기간  연장
157,박근식,"경주산업단지
풍력발전(경주 
강동풍력  발전
사업)","경북  경주시  강동면  왕신리 
산42-2,  산45-3,    산46-2,  산
46-4,  산47-1번지",풍력,12,2015-11-23,2017-12-31,사업준비기간  연장
158,신승정,신월성풍력,"경북  경주시  감포읍  대본리 
산113번지  일원",풍력,12.5,2015-11-26,2017-12-31,사업준비기간  연장
159,최익환,삼환이엔씨,"충남  아산시  인주면  금성리 
산  45","신재생(바
이오매스 
우드칩)",9.95,2015-12-01,2018-05-31,
160,장태범,"율촌청정에너
지","전남  광양시  광양읍  세풍리 
2200","신재생(연
료전지  등)",110.4,2015-12-01,2019-06-30,
161,최계운,"한국수자원공
사","충북  충주시  금가면  월상리 
일원",수력,5,2015-12-01,2017-12-31,
162,이상득,"중부그린에너
지","경기도  평택시  포승읍  평택
항로156번길  43","신재생(연
료전지)",40,2015-12-01,2017-06-30,
163,황정현,"광양그린에너
지","전남  광양시  황금동  산  191, 
황금일반산업단지  內","신재생(바
이오매스  :
우드펠릿 
등  목질계)",100,2015-12-01,2020-06-30,
164,오범준,포승퓨얼셀,경기도  평택시  포승읍  원정,신재생(연,37.5,2015-12-01,2017-06-30,
