NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
,,,,"필렛 
혼소)】",,,,
171,유상훈,광양파워,"전남  광양시  광양읍  세풍리 
2200","신재생(연
료전지/LN
G)",110,2016-11-28,2020-06-30,
172,최재영,하장풍력발전,"강원도  삼척시  하장면  한소리 
산60",풍력,4.6,2016-11-28,2019-12-31,
173,박정학,명성파워그린,"강원도  영월군  중동면  직동리 
산1-1",풍력,39,2016-11-28,2020-06-30,
174,손영기,"지에스이피에
스","전남  신안군  장산면  마진도리 
102, 
112, 
산47, 
팽진리 
118-6, 
193, 
263, 
434-1,   
436-3,  산21-1",풍력,29.7,2016-11-28,2020-10-31,
175,황의정,포항에코랜드,"경북  포항시  북구  신광면  기
일리  산150-1외  9필지",풍력,96.6,2016-11-28,2019-08-31,
176,이재규,"비학윈드캠퍼
스","경북  포항시  북구  기북면  탑
정리  산33  외  17필지",풍력,90,2016-11-28,2019-08-31,
177,기경희,더윈드파워,"경북  포항시  남구  대송면  산
여리  산8,  산33-1",풍력,60,2016-11-28,2019-12-31,
178,박정학,명성파워그린,"강원도  정선군  북평면  장열리 
산139,  산165-3,  남평리  산22, 
문곡리  산1,  여량면  여량리  산
85-5",풍력,39,2016-11-28,2020-06-30,
179,김기영,"영동  상촌풍
력  발전사업","충북  영동군  상촌면  둔전리 
산10번지,  물한리  산62-1",풍력,27,2016-11-28,2019-12-31,
