NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
,,,동  산173-1,,,,,간연장
29,이도식,GS동해전력,"강원  동해시  구호동  230, 
245-1,  246번지",석탄화력,"1,190",2016-11-30,2016-12-31,사업준비기간  연장
29,이도식,GS동해전력,"강원  동해시  구호동  230, 
245-1,  246번지",해양수력,4.872,2016-11-30,2016-12-31,사업준비기간  연장
29,이도식,GS동해전력,"강원  동해시  구호동  230, 
245-1,  246번지",태양광,3.3,2016-11-30,2017-12-31,사업준비기간  연장
35,한문선,"여수바이오에
너지","전남  여수시  중흥동  1724번지
(여수국가산업단지內)","신 재 생 에
너 지 【 목
질계  바이
오매스】",43.9,2016-11-30,2018-12-31,용량변경
54,손호영,"부산신항배후
발전","부산시  강서구  국제물류도시 
일반산업단지  1단계  제2공구 
122-7Lot","신재생(연
료전지)",17.5,2016-11-30,2018-12-31,사업준비기간연장
124,황시형,"논산바이오에
너지","충남  논산시  은진면  시묘리 
777번지,연무읍  죽본리    815
번지(동일일반산업단지內)","바이오매
스  목질계",9.9,2016-11-30,2017-12-31,"사업준비기간연장및원동
력종류"
74,"강원도
청",강원도청,강원  평창군  횡계리  산  1-174,풍력,3.3,2016-12-01,2017-09-30,사업준비기간연장
181,박선식,"에스더블유에
너지","전남  여수시  화양면  안포리 
산67,  산117,산56-17,  산56-1",풍력,9.2,2016-12-01,2019-09-30,
49,김영만,원주에너지,"강원  원주시  문막읍  원문로 
2047(반계리    2262-5,6,7)일원","열병합발
전",32.3,2016-12-21,2019-08-31,사업준비기간연장
183,이정원,"제이더블유솔
라파크","전남  해남군  황산면  한자리 
855-1번지",태양광,21.78,2016-12-28,2016-12-31,부지  축소
