NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변경
일","사업
준비기간","기타
(변경사항)"
52,하영봉,GS  E&R,"경기  안산시  단원구  첨단로 
267번길  31","연료전지
(LNG)",40,2014-07-01,2017-12-31,
53,김광언,영광서진풍력,"전남  영광군  법성면  입암리 
산34번지  일원",풍력,14,2014-07-01,2016-11-30,
54,김옥색,동대산풍력발전,울산시  북구  대안동  산288-1,풍력,20,2014-07-01,2017-12-31,
55,장기태,"고성알프스풍력
발전","강원  고성군  간성읍  흘리  일
원",풍력,100,2014-07-01,2016-12-31,
56,홍길락,천사풍력,"전남  신안군  자은면  고장리 
산224-13  일원",풍력,45,2014-07-01,2017-01-30,
57,신종우,아이씨솔라일호,인천시  남구  학익동  723번지,태양광,9,2014-07-01,2015-06-30,
58,최성돈,아이씨솔라이호,인천시  남구  학익동  723번지,태양광,8.01,2014-07-01,2015-06-30,
59,김광주,아이씨솔라삼호,인천시  남구  학익동  723번지,태양광,8.09,2014-07-01,2015-06-30,
60,이정원,"제이더블유에너
지","전남  해남군  황산면  한자리 
23-4외  7필지",태양광,17.82,2014-07-01,2015-12-31,
61,이정원,"제이더블유솔라
파크","전남  해남군  황산면  한자리 
23-11외  3필지",태양광,21.78,2014-07-01,2015-12-31,
62,정회걸,"탑인프라창기태
양광","충남  태안군  안면읍  창기리 
209-328,  209-330번지",태양광,9,2014-07-01,2016-12-31,
63,하영봉,GS  E&R,"경기  포천시  신북면  신평리 
220-1","열병합(유
연탄,우드
칩,부생연",169.9,2014-07-15,2015-12-31,용량변경  등
