NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
1,임승숙,대척태양광발전(주),전남 신안군 안좌면,태양광,7.5,‘12.1.30,‘13.12월,준비기간 연장
2,강태일,"부산신호태양광발전(주)
1호기",부산 강서구 신호동,“,11,“,“,
3,“,"부산신호태양광발전(주)
2호기",“,“,9,“,“,
4,문덕규,에스케이이엔에스(주),경남 양산시 원동면,풍력,20,“,‘13.12월,
5,김준수,경기연료전지발전(주),경기도 화성시 향남읍,연료전지,58.8,‘12.1.31,‘13.12월,
6,이길구,"울산 4 복합화력발전
(한국동서발전)",울산 남구 남화동,LNG복합,"872(GT 2기,
ST1기)",“,"‘13.7월(GT)
'14.7월(ST)",
7,김문덕,평택복합 2단계 발전,경기도 평택시 포승면,“,"868.5(GT
2기, ST1기)",“,"‘13.7월(GT)
'14.10월(ST)",
8,송효순,"대전 금고동 쓰레기
매립가스발전(에코에
너지홀딩스)",대전 유성구 금고동,"쓰레기매립
가스(LFG)",3.46,-,-,"자진반납 허가폐지
(2012.3.30)"
9,이치훈,(주)금약코리아,"전남 해남군 황산면
원호리 435-1외 5필지",태양광,10,‘12.2.29,‘13.7월,
10,오경홍,영암에프원태양발전(주),"전남 영암군 삼호읍
삼포리 1895-8",“,13.295,“,‘12.12월,
,정동화,(주)포스코건설,"강원도 춘천시 석사동
산73",집단에너지,"463(GT1기
ST1기)",_,_,"용량변경허가
202→463"
