NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
35,한문선,"여수바이오에
너지","전남  여수시  중흥동  1724번지
(여수국가산업단지內)","신재생에
너지【목
질계  바이
오매스】",40,2016-03-29,2018-12-31,
36,김용진,한국동서발전,"강원  양양군  현남면  하월천리 
산1-1번지,  상월천리  산1-1번
지,  현북면  어성전리  산2번지 
일원",풍력,40,2016-03-29,2019-02-28,용량변경
37,김영건,에스알피,"전남  여수시  화정면  백야리 
산253번지  일원",풍력,12,2016-03-29,2019-03-31,
38,김영건,와이씨풍력,"경북  영천시  자양면  용산리 
산31번지  일원","신재생에
너지(풍력)",12,2016-03-29,2018-12-31,
39,이기경,태환윈드파워,"강원도  평창군  용평면  도사리 
산1번지,속사리  산270번지,  덕
거리  산1번지",풍력,85.8,2016-03-29,2019-01-31,
40,김성훈,에너지메카,"강원도  삼척시  하장면  중봉리 
산1,  도계읍  무건리  산58,  도
계읍  황조리  산159,  도계읍 
신리  산138,    삼척시  노곡면 
주지리  산9,  노곡면  상마읍리 
산104,  삼척시  원덕읍  이천리 
산322,  삼척시  가곡면  오목리 
산21번지",풍력,285,2016-03-29,2019-08-31,
41,김용진,한국동서발전 충남  당진시  석문면  교로리,,석탄화력,"2,040",2016-03-29,2017-09-30,사업준비기간  연장
