NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
,,,,,,,,
193,김기영,윈드앤썬,"강원  강릉시  옥계면  금진리 
산81번지,  강동면  산성우리  산
56번지",풍력,19.2,2016-12-28,2020-12-31,
194,황영윤,정선풍력발전,"강원  정선군  신동읍  방제리 
443-21,22,24,68,70,35,64  조동
리  499-9",풍력,19.8,2016-12-28,2019-10-31,
195,황영윤,보령풍력발전,"충남  보령시  신흑동  2122-2번
지  일원",풍력,33,2016-12-28,2019-10-31,
