NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
,,,"산1-11,  면옥치리  산1-1",,,,,
125,이병구,오성이앤티,"경북  영덕군  남정면  회리 
104-1번지,  쟁암리    산37번지, 
사암리  산62-2번지,  달산면  옥
산리  산109번지",풍력,60,2016-09-09,2019-02-28,
126,이완,"엔텍바이오파
워",전북  남원시  광치동  산7번지,"신재생에
너지(바이
오매스)",9.95,2016-09-20,2018-12-31,사업준비기간연장
127,박현주,"씨씨에스리소
스","경기  포천시  신북면  청신로 
1897(신평리  480-3번지)","신재생(목
질계  바이
오매스)",9.9,2016-09-20,2018-10-31,사업준비기간  연장
128,윤종근,한국남부발전,"강원  강릉시  강동면  임곡리 
및  언별리,  옥계면  북동리,  왕
산면  목계리  일원  일원",풍력,60,2016-09-28,2019-06-30,
129,김용진,한국동서발전,"강원  정선군  화암면  건천리, 
호촌리,  백전리,  삼척시  하장
면  토산리,  갈전리,  추동리,  둔
전리,  역둔리,  공전리    일원",풍력,99,2016-09-21,2019-12-31,
130,이상호,한국남부발전,"강원  강릉시  강동면  임곡리 
및  언별리,  옥계면  북동리,   
왕산면  목계리  일원",풍력,60,2016-09-28,2019-06-30,
131,"가보렐
마르셀
루시앙
프랑소","베올리아코리
아에너지","충북  충주시  목행동  315-2번
지","신재생
【
Bio-SRF
(우드칩)】",6.5,2016-10-06,2018-12-31,
