NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
22,최홍건,동부발전당진(주),"충남 당진시 석문면
교로3리 1026외",석탄화력,"1,100",12.6.4,"2015년
12월","사업승인 신청전
유치동의"
23,김진식,STX전력(주),"강원도 동해시 구호동
230, 245-1, 246",“,1190,“,"2016년
6월","‘12년말까지
용도변경후 인가신청"
24,김문덕,한국서부발전(주),"전남 화순군 동면
천궁리 산1 및 이서면
안심리 산135-2",풍력,20,“,"2013년
6월","사업준비기간내
발전사업개시
신고"
25,김두훈,유니슨(주),"경남 의령군 궁류면
벽계리 산 203",“,18.75,“,"2013년
7월",“
26,서기섭,영암풍력발전(주),"전남 영암군 금정면
연소리 산 340",“,40,“,"2013년
3월","대명지이씨(주)로
부터 양수인가"
27,고훈진,대전열병합발전(주),"대전시 대덕구 신일서로
68번길 71",집단에너지,113,‘12.6.5,"2014년
12월",
28,박영덕,평택에너지서비스(주),"경기도 평택시 죽백동
334-3",“,16,“,"2012년
12월",
29,이재문,(주)다남솔라,"전남 해남군 황산면
호동리 909-21",태양광,6.888,‘12.6.27,"2013년
5월",
30,이정원,(주)제이더블유에너지,"전남 해남군 황산면
한자리726,752-1,747및
호동리968-6",“,7.872,“,“,
31,조민래,코원에너지서비스(주),"경기도 하남시 풍산동
일원","열병합발전
(LNG)",398.9,“,"2014년
6월",
32,오창석,군장에너지(주),"전북 군산시 소룡동
53-8","열병합발전
(유연탄,
석유코크스)",85.069,“,“,
