NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
64,오창관,포스코에너지(주),"전남 신안군 팔금면
원산리 271,273 등",태양광,5,‘12.12.3,"2013년
12월","신안에너지(주)를
흡수 합병인가"
65,“,“,전남 신안군 팔금면 진고리,“,7.5,“,"2014년
12월",“
66,김홍권,수완에너지(주),"광주광역시 광산구
수완로 130","열병합
(LNG)",109,‘12.12.5,"2013.3.1
발전사업전환",
67,심수섭,이에스파워 유한회사,"충북 단양군 매포읍
매포리 270","S
/T,
유기링킨사이클",40,‘12.12.27,"2017년
12월",
68,이종근,동부발전당진(주),"충남 당진시 석문면
교로 3리 1026번지 외",석탄화력,"1,100",“,"2016년
12월","허가조건 이행에
따른 허가증 재발급"
