NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
77,임진국,"에너지관리사
업단","강원  횡성군  횡성읍  조곡리 
3-2번지  일원",Bio-SRF,9.9,2015-06-30,2017-06-30,
78,김영길,지웰,"경북  영천시  고경면  상계로 
178-18","신재생(비
성형  SRF)",8,2015-06-30,2017-11-30,
79,구자숭,"엘아이케이파
워","강원  강릉시  옥계면  산계리 
8번지(라파즈한라시멘트  공
장부지  내)","기력발전
(화석연료, 
폐기물에
너지,  바이
오매스  등)",27,2015-06-30,2018-04-30,용량변경  7-27
80,이남진,해다미,"경기  화성시  송산면  마산리 
416-15번지","신재생
(Bio-SRF)",9.9,2015-06-30,2017-01-31,
81,정해주,대관령풍력,"강원  태백시  창죽동  9-167
외  8필지  화전동  143-26외 
1필지",풍력,33,2015-06-29,2017-11-30,
82,김흥식,청산풍력발전,"강원  평창군  봉평면  진조리 
산80-1,횡성군  둔내면  삽교
리  산1-3",풍력,29.9,2015-06-29,2016-12-31,용량변경  26-29.9
83,김흥식,한백풍력발전,"강원  태백시  통동  산69,  황
지동  산173-1",풍력,25.3,2015-06-29,2016-12-31,용량변경  20-25.3
84,이정규,"효성윈드파워
홀딩스","강원  강릉시  왕산면  대기4
리  일원",풍력,26,2015-06-29,2015-09-30,지배주주변경
85,신종우,"아이씨솔라일
호","인천시  남구  학익동  723번
지",태양광,9,2015-06-30,2016-09-30,사업준비기간연장
86,최성돈,"아이씨솔라이
호","인천시  남구  학익동  723번
지",태양광,8.01,2015-06-30,2016-09-30,사업준비기간연장
