NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
80,윤정택,"탑선그린영암
에너지","충남  보령시  성주면  개화리 
산30",태양광,"3.998
61",2016-06-21,2017-06-30,사업준비기간연장
81,박광수,"탑선태양광2
호","충남  보령시  성주면  개화리 
산30",태양광,"3.998
61",2016-06-21,2017-06-30,사업준비기간연장
82,공유덕,에너지워터,"전남  고흥군  대서면  남정리 
2431  일원",태양광,8,2016-06-21,2017-06-30,사업준비기간연장
83,나은경,인순,"전남  무안군  운남면  연리  및 
성내리  등지",태양광,16.7,2016-06-29,2017-06-30,사업준비기간연장
84,김철민,서대구에너지,"대구시  서구  와룡로87길  92
(이현동)","열병합발
전(증기터
빈)",1.5,2016-07-12,2018-03-31,용량변경
85,이운옥,"춘천에코에너
지","강원  춘천시  남산면  수동리 
648-2  일원","신재생/증
기터빈
(SRF  소각
열)",9.8,2016-07-13,2019-07-31,
86,"한국동
서발전","태백  가덕산
풍력  발전사
업","강원  태백시  원동  산97,  산
13-1일원",풍력,40,2016-07-13,2018-09-30,
87,조성훈,"횡계신재생발
전","강원평창군대관령면횡계리산
178,188-1,188-10,188-11,1-13
4",풍력,39,2016-07-20,2018-08-31,사업준비기간연장
88,조석,"한국수력원자
력","울산시  울주군  서생면  신암리 
일원",원자력,2800,2016-08-30,2022-10-31,사업준비기간연장
88,이병수,현대에너지,전남  여수시  여수산단로  727,열병합(유,126.2,2016-08-30,2018-12-31,용량변경
