NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
14,김종신,한국수력원자력(주),"울산시 울주군 서생면
신암리 1000",원자력,"2,800MW",07.12.24,2014.9.30,"적정용량의
분로리액터 설계"
15,윤규한,현대그림파워(주),"충남 당진군 송산면
동곡리 310.311",증기터빈,400MW,"""",2010.10.31,개별법 인허가
16,김상갑,한국남부발전(주),"강원도 영월군 영월읍
정양리 702",LNG,853MW,"""",2010.11.30,""""
17,안성덕,(주)일지솔라에너지,"충남 태안군 원북면
방갈리",태양광,15MW,"""",2008.11.30,""""
18,안효신,(주)동양에너지,"전남 신안군 지도읍
태천리 1525",“,7.5MW,"""",2008.10.31,""""
19,박종철,강릉윈드파워(주),"강원도 강릉시 왕산면
대기4리 2214-120",풍력,24MW,"""",2009.9.30,""""
