NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및
변경일","사업
준비기간","기타
(변경사항)"
11,"유재권
김양수","S-POWER(주)
(안산복합)","경기도 안산시 초지동
MTV5공구 BL 103-1",복합화력,"834.3(GT2기
, ST1기",3.5,‘14.10월,
12,장도수,한국남동발전(주),"전남 여수시 중흥동
1300",화력,350,“,‘16.2월,"기존200중유→
350석탄"
13,이길구,한국동서발전(주),"인천시 서구 백석동 58
수도권매립지 제3매립장내",신재생발전,5,3.30,‘13.8월,"음식물쓰레기이용
열병합발전"
14,김동수,"영광하사리풍력발전
(주)","전남 영광군 백수읍
하사리 3186-12",풍력,20,“,‘13.12월,"변경허가
안성권,호남풍력"
15,"아키요시마
사루",(주)경남신재생에너지,"경남 밀양시 내이동
1540-10 대아빌딩 2층",“,36,“,‘14.8월,"기존 50.6→
36"
16,최경식,경주풍력발전(주),"경북 경주시 양남면
효동리 산 501-2",“,20,“,‘14년11월,"동서발전에서
양수 인가"
17,"나완배신
완중","GS에너지(주)
(주)삼천리 컨소시엄","서울시 강남구 논현로 508
서울시 영등포구여의도동35-6",집단에너지,"822
19.2",“,‘16.10월,
18,김영대,"대성산업(주)
코젠사업부","경기도 오산시 누읍동
332",“,432.4,“,‘15.8월,
19,"손석원
마크반더엘
스터",삼성토탈(주),"충남 서산시 대산읍
독곶리 411-1",“,91.7,“,,
20,서기섭,대명지이씨(주),"강원도 태백시 창죽동
산63번지",풍력,20,4.26,‘13.8월,
21,이선규,(주)한주,울산시 남구 부곡동 625,구역전기,155,4.27,‘15.4월,"울산석유화학
-기존공급구역에추가"
