NO,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
87,김광주,"아이씨솔라삼
호","인천시  남구  학익동  723번
지",태양광,8.09,2015-06-30,2016-09-30,사업준비기간연장
88,박찬구,금호석유화학,"전남  여수시  여수산단2로 
46-51호(월하동  144-16)  및 
전남  여수시  여수산단2로 
223-84호(화치동    1293번지)","열병합발
전(석
탄
,TDF,,Biom
ass)",144.97,2015-07-08,2016-03-31,사업준비기간  연장
89,송재호,케이디파워텍,"울산시  울주군  온산읍  온산
로68  S-OIL(주)  온산공장  부
지  내",폐열발전,16.2,2015-07-09,2016-04-30,사업준비기간  연장
90,이종희,"압 해 풍 력 에 너
지","전남  신안군  압해면  가룡리 
일원(해상  포함)","신재생(풍
력)",20,2015-07-10,2017-08-31,
91,강성국,남해화학,"전남  여수시  여수산단로  남
해화학  부지  내","탄 ,
열 병 합 발
전(연료:석
Bio-SRF)",230,2015-07-13,2020-07-31,
92,이용운,정암풍력발전,"강원  정선군  고한읍  고한리 
산216-1  등지",풍력,40,2015-07-16,2017-06-30,
93,금동흠,"천안삼영그린
에너지","충북  천안시  서북구  차암동 
14-4  일원","신재생(연
료전지)",25,2015-07-27,2017-01-31,
94,나병제,"중부바이오에
너지",전북  군산시  비응도동  36,"신재생(바
이오고형",200,2015-07-27,2019-12-31,
