cleaned_type,capacity_MW,address,year,company,owner
wind,98.0,강원도 평창군 도암면횡계리,2002,강원풍력발전(주),이건우
gas,36.4,전남 여수시 월내동 350,2002,코리아카본블랙(주)여수발전소,후란쓰이스링거
gas,12.5,인천시 부평구 갈산1동94,2002,코리아카본블랙(주)부평발전소,후란쓰이스링거
gas,70.9,인천시 서구 백석동 58,2002,(주)상원이엔씨매립가스,이호인
coal,5800.0,충남 보령시 오천면오포리 산 212,2002,한국중부발전(주)보령발전소,김영철
coal,4000.0,충남 태안군 원북면방갈리,2002,한국서부발전(주)태안화력발전소,이영철
gas,1000.0,충남 당진군 송악면부곡1리,2002,LG에너지(주)부곡발전소,조방래
coal,4000.0,충남 당진군 석문면교로리 산 974,2002,한국동서발전(주)당진화력발전소,이용오
wind,6.0,경남 양산시 원동면대리 산 93-4,2003,(주)코에지 양산풍력발전소,문무길
gas,3.5,대전시 유성구 금고동산21,2003,대전시금고동쓰레기매립가스발전소,이돈영
gas,500.0,전남 순천시 해룡면율촌 제1산단,2003,메이야율촌전력(주),콜린시우떵탬
coal,1000.0,경남 하동군 금성면가덕리 310,2003,한국남부발전(주)하동화력,이임택
gas,50.0,인천시 서구 백석동 58,2003,에코에너지(주)수도권매립지 매립발전소,조동일
wind,40.0,경북 영덕군 영덕읍창포리,2003,영덕풍력발전(주),김길원
gas,450.0,전남 광양시 금호동광양제철소 스래그처리장,2003,sk전력(주),박영덕
others,40.0,제주시 삼양1동 900,2003,한국중부발전(주)제주화력,김영철
others,200.0,제주도 남제주군 안덕면화순리 610,2003,한국남부발전(주)남제주화력,이임택
wind,8.0,경남 양산시 원동면대리 산 93-4,2003,(주)코에지 양산퐁력발전소,문무길
coal,800.0,인천시 옹진군 영흥면외리 산 168,2003,한국남동발전(주)영흥화력,윤행순
others,254.0,대전시 대덕구 연축동산 6-2,2004,한국수자원공사,고석구
wind,12.0,경남 양산시 원동면대리 산 93,2007,dk풍력발전(주)양산발전소,장기형
nuclear,2000.0,부산시 기장군 장안읍효암리,2005,한국수력원자력(주),이중재
others,8.0,전주시 완산구 상림동산 180-6,2005,전주시,전주시장
gas,747.0,경남 통영시 광도면안정리,2005,안정에너지(주),정태훈
gas,504.0,인천시 서구 원창동인천 화력발전소,2005,한국중부발전(주),김영철
hydro,800.0,경북 예천군 하리면송월리,2005,한국남동발전(주),박희갑
hydro,1000.0,강원도 양양군 서면영덕리,2005,한국중부발전(주),김영철
hydro,600.0,경북 청송군 파천면신흥리,2005,한국서부발전(주),김종신
coal,1000.0,충남 당진군 석문면교로리 산 974,2005,한국동서발전(주),이용오
nuclear,2000.0,경북 경주시 양북면봉길리 일원,2006,한국수력원자력(주),이중재
others,500.0,인천시 서구 원창동 336,2006,한국중부발전(주),정장섭
wind,3.4,전북 군산시 비옹도동군장 국가산단,2006,전라북도,김완주
hydro,5.0,충남 보령시 오천면보령화력내,2006,한국중부발전(주),정장섭
others,1000.0,인천시 서구 원창동244-17외,2006,포스코파워(주),이승우
others,8.2,경기도 이천시 호법면안평3리 산 98,2007,경기도 이천시,이천시장
wind,64.5,경북 영양군 석보면요원리 삼의리,2007,(주)영양풍력발전공사,산체스
others,717.0,전북 군산시 경암동590-2,2007,한국서부발전(주)군산복합화력,김종신
others,507.0,충남 서산시 대산읍독곶리 634,2007,현대중공업(주)대산복합화력,민계식
wind,40.0,강원도 횡성군 둔내면태기리산 1-1,2007,(주) 태기산 풍력발전,마사루
solar,15.0,전북 고창군 흥덕면치룡리 100,2007,(주)고창솔라파크,박현우
wind,12.0,경남 양산시 원동면대리 산 93,2007,dk풍력발전(주)영산발전소,장기형
wind,50.6,경남 밀양시 산내면삼양리 산 1-3,2007,(주)경남신제생에너지,이재혁
solar,7.0,충남 보령 청소면,2008,엘지솔라에너지,안성덕
solar,10.0,강원도 춘천 송암동,2008,강원솔라파크,허경춘
others,5.3,경기 고양 백석동,2008,고양시(경기),고양시장
wind,20.0,강원 삼척 하장면,2008,한국남부발전,사장
solar,9.9,경북 김천 어모면,2008,삼성에버랜드,대표
solar,9.4,경북 김천 어모면,2008,김천 에너빅스,김기태
solar,13.0,전남 영광 백수읍,2008,디쏠라에너지,채준석
others,1000.0,인천 연수 동천동,2008,대림산업(주),대표
others,800.0,경기 평택 오성면,2008,오송복합(디피오서비스),대표
gas,262.0,전남 광양 금호동 640,2008,"포스코파워(#1,2)",이승우
wind,85.0,경북 김천 봉산면,2008,김천 풍력발전,이영호
others,5.0,전북 익산시 부송동,2008,익산시(전북),익산시장
others,501.0,충남 당진 송악면,2008,GS-EPS,정종수
hydro,60.0,경기 가평 설악면,2008,한국수력원자력김종신,
others,4.4,경기 화성 봉담읍,2008,화성시(경기),화성시장
nuclear,2800.0,경북 울진 북면,2009,한국수력원자력,김종신
others,525.0,경기 부천 삼정동,2009,GS파워,손영기
coal,2050.0,충남 당진 석문면,2009,한국동서발전,이길구
others,520.0,충남 서산 대산읍,2010,가로림 조력,서현교
coal,1740.0,인천 옹진 영흥,2010,한국남동발전,장도수
hydro,5.0,경기 여주 능서면,2010,한국수자원공사3),김건호
others,11.2,대구 달서 대천동,2010,티에스원,정형지
others,10.0,강원 원주 지정면,2010,한국중부발전,남인석
others,820.0,경기 포천 창수면,2010,그린택개발(포천LNG복합),김진서
others,25.2,부산 강서 생곡동,2010,부산이앤이,조상순
wind,10.0,강원 태백 창죽동,2011,창죽풍력,예병국
others,725.0,경기 포천 창수면,2011,포천파워,김영길
coal,2000.0,강원 삼척 윈덕읍,2011,한국남부발전,남호기
others,380.0,충남 태안 원북면,2011,한국서부발전,김문덕
others,5.6,부산 강서구,2011,부산연료전지발전,김도윤
bioenergy,30.0,강원 동해시 구호동,2011,동서발전,이길구
gas,1500.0,경기 동두천시 광암동,2011,동두천드림파워,김홍주
wind,6.0,경남 어곡동,2011,원드밀파워,강창석
gas,263.2,경북 포항시 남구,2011,포스코파워,조서익
coal,39.6,강원도 동해시 삼화동,2011,한국지역난방공사,정승일
hydro,5.0,경북 영주시 평은면,2011,수자원공사,김건호
wind,17.5,경북 경주시 양북면,2011,경주풍력발전,최경식
coal,2000.0,충남 보령시 주교면,2011,한국중부발전,남인석
solar,5.0,전남 신안군 팔금면 원산리,2011,신안에너지주식회사,김재석
solar,7.5,전남 신안군 팔금면 진고리,2011,신안에너지주식회사,김재석
wind,40.0,전남 영암군 금정면 연소리,2011,대명지이씨(주),서기섭
gas,1800.0,경기 파주시 파주읍봉암리,2011,피앰피(장문LNG발전),신창동
gas,800.0,서울 마포구 당인동,2011,"한국중부발전(주)(서울복합 1,2호기)",남인석
