"시점",신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지
"시점",소계,사업용,자가용,① 재생에너지 합,① 재생에너지 합,① 재생에너지 합,② 신에너지 합,② 신에너지 합,② 신에너지 합,태양광,태양광,태양광,풍력,풍력,풍력,수력,수력,수력,해양,해양,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,연료전지,연료전지,연료전지,IGCC,IGCC
"시점",소계,소계,소계,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,소계,사업용,자가용,바이오가스,바이오가스,바이오가스,매립지가스,매립지가스,매립지가스,우드칩,우드칩,우드칩,목재펠릿,목재펠릿,목재펠릿,폐목재,폐목재,폐목재,흑액,흑액,하수슬러지고형연료,하수슬러지고형연료,Bio-SRF,Bio-SRF,Bio-SRF,바이오중유,바이오중유,소계,사업용,자가용,폐가스,폐가스,폐가스,산업폐기물,산업폐기물,산업폐기물,생활폐기물,생활폐기물,생활폐기물,시멘트킬른보조연료,시멘트킬른보조연료,SRF,SRF,SRF,정제연료유,정제연료유,소계,사업용,자가용,소계,사업용
"시점",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,자가용,소계,사업용,소계,사업용,자가용,소계,사업용,소계,소계,소계,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,자가용,소계,사업용,자가용,소계,사업용,소계,소계,소계,소계,소계
"2009",451054,417830,33224,436553,403430,33123,14501,14400,101,166838,142657,24181,35276,35250,26,13433,13433,-,1000,1000,3534,3390,144,490,390,100,-,-,-,3044,3000,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,216472,207700,8772,200000,200000,-,-,-,-,16472,7700,8772,-,-,-,-,-,-,-,14501,14400,101,-,-
"2010",663716,617190,46526,649486,603190,46296,14230,14000,230,127781,92350,35431,33436,33400,36,5520,5210,310,-,-,729,530,199,279,80,199,450,450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,482020,471700,10320,462000,462000,-,-,-,-,20020,9700,10320,-,-,-,-,-,-,-,14230,14000,230,-,-
"2011",539173,485865,53308,518967,466215,52752,20206,19650,556,85416,42983,42433,51944,51813,131,96619,96309,310,254000,254000,23790,20810,2980,2150,170,1980,-,-,-,-,-,-,20640,20640,-,-,-,-,-,-,-,-,1000,-,1000,-,-,7198,300,6898,-,-,-,300,300,-,6898,-,6898,-,-,-,-,-,-,-,20206,19650,556,-,-
"2012",702171,612116,90055,699168,609316,89852,3003,2800,203,315909,232978,82931,72811,67300,5511,27700,27645,55,110,110,268163,267023,1140,4530,4530,-,1024,1024,-,-,-,-,181211,180071,1140,-,-,-,-,-,81398,81398,-,-,-,-,-,14475,14260,215,15,-,15,2150,2150,-,4950,4750,200,-,-,7360,7360,-,-,-,3003,2800,203,-,-
"2013",1833181,1713242,119939,1765354,1645782,119572,67827,67460,367,567770,467422,100348,91906,91900,6,7508,6709,799,-,-,526388,508983,17405,6252,4802,1450,4176,3176,1000,14955,14955,-,414725,414724,0,14955,-,14955,-,-,38908,38908,32417,32417,-,-,-,571782,570768,1014,531600,531600,-,5998,5998,-,9384,8370,1014,-,-,24800,24800,-,-,-,67827,67460,367,-,-
"2014",1997420,1833249,164171,1961134,1797209,163925,36286,36040,246,1001294,857353,143941,61363,60880,483,14356,14256,100,-,-,576261,573610,2651,13210,10559,2651,2860,2860,-,1440,1440,-,153562,153562,-,-,-,-,-,-,-,-,48969,48969,-,356220,356220,307860,291110,16750,235100,235100,-,3500,2600,900,10160,8310,1850,14000,14000,2990,2990,-,42110,42110,36286,36040,246,-,-
"2015",1960805,1761134,199671,1573751,1374434,199317,387054,386700,354,1225318,1040107,185211,207791,207599,192,2718,2718,-,-,-,89975,89975,-,2675,2675,-,-,-,-,2950,2950,-,561,561,-,-,-,-,-,-,-,-,79439,79439,-,4350,4350,47950,34035,13915,27250,16500,10750,3165,-,3165,2035,2035,-,-,-,15500,15500,-,-,-,6354,6000,354,380700,380700
"2016",1642142,1375144,266998,1595355,1329024,266331,46787,46120,667,1059428,798822,260606,186810,186750,60,19160,19060,100,-,-,286538,286538,-,9003,9003,-,1075,1075,-,38900,38900,-,200000,200000,-,-,-,-,-,-,-,-,37560,37560,-,-,-,43419,37854,5565,-,-,-,8265,5700,2565,3160,160,3000,-,-,31994,31994,-,-,-,46787,46120,667,-,-
"2017",2311566,1931310,380257,2278851,1898930,379922,32715,32380,335,1582347,1248429,333918,113562,110456,3106,6445,6445,-,-,-,486742,485992,750,8115,7365,750,-,-,-,3512,3512,-,333451,333451,-,-,-,-,-,-,49320,49320,92343,92343,-,-,-,89756,47608,42148,30000,-,30000,15997,10869,5128,4020,-,4020,-,-,36119,33119,3000,3620,3620,32715,32380,335,-,-
"2018",3755208,3346217,408991,3657429,3249006,408423,97779,97211,568,2589137,2191652,397486,161309,161258,51,4333,4333,-,-,-,864857,862757,2100,6049,3949,2100,1098,1098,-,-,-,-,165290,165290,-,-,-,-,-,-,44755,44755,27665,27665,-,620000,620000,37792,29006,8786,-,-,-,6906,6020,886,4060,160,3900,-,-,19339,15339,4000,7487,7487,97779,97211,568,-,-
"2019",4612939,4223584,389355,4491136,4102394,388742,121803,121190,613,3917132,3535059,382073,191221,191201,20,11723,11723,-,500,500,290046,289277,769,5569,4800,769,700,700,-,6549,6549,-,43325,43325,-,-,-,-,-,-,20673,20673,113229,113229,-,100000,100000,80514,74634,5880,5200,-,5200,42233,42233,-,14780,14100,680,-,-,16312,16312,-,1989,1989,121803,121190,613,-,-
"2020",5497070,5080008,417061,5340450,4925350,415099,156620,154658,1962,4658157,4285023,373133,160136,160050,86,3007,2927,80,-,-,454350,414350,40000,3925,3925,-,925,925,-,44600,4600,40000,259551,259551,-,-,-,-,-,-,-,-,145349,145349,-,-,-,64800,63000,1800,-,-,-,11400,11400,-,53400,51600,1800,-,-,-,-,-,-,-,156620,154658,1962,-,-
